"cod_proposta","cod_cliente","cod_colaborador","data_entrada_proposta","taxa_juros_mensal","valor_proposta","valor_financiamento","valor_entrada","valor_prestacao","quantidade_parcelas","carencia","status_proposta"
"285","798","79","2021-03-18 23:57:36+00:00","0.0166","69718.93","130839.39","61120.46","70876.26","1","1","Enviada"
"700","916","79","2021-07-17 16:52:24+00:00","0.0229","92476.93","119740.36","27263.43","2291.13","114","5","Enviada"
"769","640","79","2022-07-09 14:07:17+00:00","0.0246","90570.19","115394.9","24824.71","2369.39","116","4","Enviada"
"1191","927","79","2016-11-10 00:22:29+00:00","0.0208","23677.21","42446.92","18769.71","998.84","33","1","Enviada"
"1459","385","79","2014-07-25 02:47:05+00:00","0.0138","35237.55","59888.77","24651.22","740.53","78","3","Enviada"
"1535","236","79","2011-06-30 06:43:51+00:00","0.0151","155986.4","188190.55","32204.15","10472.43","17","5","Enviada"
"1780","250","79","2011-06-17 08:24:14+00:00","0.0169","117286.89","201012.83","83725.94","2385.95","106","5","Enviada"
"891","720","80","2012-04-14 23:58:24+00:00","0.0126","95054.24","127680.52","32626.28","2293.13","59","5","Enviada"
"1256","31","80","2020-03-13 01:54:16+00:00","0.0205","86785.2","159337.72","72552.52","2548.91","59","1","Enviada"
"1383","229","80","2012-06-13 15:24:02+00:00","0.0245","111232.03","171795.41","60563.38","3483.3","63","2","Enviada"
"1877","707","80","2020-01-10 02:35:05+00:00","0.0162","135066.41","246043.6","110977.19","2567.36","119","3","Enviada"
"98","287","81","2015-09-19 07:30:25+00:00","0.0085","34476.89","51516.23","17039.34","530.41","95","0","Enviada"
"187","434","81","2013-06-07 05:52:56+00:00","0.013","14794.21","25661.59","10867.38","269.24","97","5","Enviada"
"530","903","81","2010-09-06 20:30:39+00:00","0.0191","115185.5","158235.29","43049.79","2836.29","79","4","Enviada"
"757","760","81","2015-11-26 10:08:54+00:00","0.0092","48837.36","96935.61","48098.25","778.43","94","1","Enviada"
"758","480","81","2011-11-17 08:58:14+00:00","0.0144","94836.95","131026.64","36189.69","6018.65","18","1","Enviada"
"960","405","81","2017-01-06 04:09:59+00:00","0.0092","96396.57","187942.11","91545.54","4048.32","27","0","Enviada"
"1081","192","81","2016-09-28 11:48:55+00:00","0.0115","45401.1","73863.63","28462.53","1298.05","45","5","Enviada"
"19","885","82","2019-05-03 11:58:12+00:00","0.0192","93312.72","176013.4","82700.68","3762.43","34","0","Enviada"
"562","217","82","2016-03-06 19:16:38+00:00","0.0195","137343.39","191042.55","53699.16","8359.0","20","2","Enviada"
"1444","77","82","2014-08-03 17:23:00+00:00","0.0109","122820.61","164298.71","41478.1","2239.69","84","5","Enviada"
"1590","450","82","2010-01-08 06:53:18+00:00","0.0127","22086.76","35165.82","13079.06","707.67","40","0","Enviada"
"1736","843","82","2013-08-22 10:24:07+00:00","0.0203","75089.47","88448.2","13358.73","2351.19","52","5","Enviada"
"1792","862","82","2012-01-23 08:40:47+00:00","0.0169","146702.8","215055.03","68352.23","3086.72","97","1","Enviada"
"1830","987","82","2013-06-04 00:12:28+00:00","0.0143","32040.12","54868.77","22828.65","1853.35","20","6","Enviada"
"1229","40","83","2010-05-31 22:21:07+00:00","0.0092","130016.76","238018.03","108001.27","4708.93","32","4","Enviada"
"1292","765","83","2011-08-17 06:18:12+00:00","0.0248","84574.48","104042.73","19468.25","29601.21","3","0","Enviada"
"1387","700","83","2021-08-17 23:05:09+00:00","0.0117","163244.59","203494.77","40250.18","4941.9","42","2","Enviada"
"1521","221","83","2017-11-12 11:17:28+00:00","0.0118","6775.98","10732.24","3956.26","325.85","24","1","Enviada"
"254","357","84","2012-02-29 19:53:11+00:00","0.0163","132400.72","181398.56","48997.84","2973.91","80","2","Enviada"
"327","931","84","2018-03-23 01:07:42+00:00","0.013","88211.73","149873.73","61662.0","1755.48","82","0","Enviada"
"976","650","84","2013-09-26 02:27:55+00:00","0.0172","93482.84","162417.86","68935.02","2559.97","58","2","Enviada"
"1727","964","84","2016-01-26 18:02:16+00:00","0.0236","103497.56","122189.85","18692.29","10792.9","11","2","Enviada"
"1791","150","84","2016-02-20 10:19:34+00:00","0.0148","12435.58","20470.95","8035.37","328.2","56","0","Enviada"
"1847","841","84","2020-08-16 17:07:17+00:00","0.0125","109073.28","174923.8","65850.52","5107.08","25","1","Enviada"
"1981","956","84","2013-05-27 14:52:33+00:00","0.0206","111381.12","166256.27","54875.15","2579.66","108","6","Enviada"
"92","26","85","2016-12-22 01:31:23+00:00","0.0096","74090.5","112484.19","38393.69","1610.4","61","5","Enviada"
"496","154","85","2021-03-11 14:54:22+00:00","0.0099","30205.04","44958.33","14753.29","498.42","93","5","Enviada"
"1110","559","85","2012-11-06 06:03:56+00:00","0.0219","116305.09","212517.42","96212.33","4886.55","34","4","Enviada"
"1350","138","85","2021-06-16 21:54:08+00:00","0.0113","97368.23","185316.96","87948.73","6686.44","16","4","Enviada"
"1431","632","85","2016-08-23 09:34:29+00:00","0.0131","101033.29","175702.67","74669.38","2017.47","82","3","Enviada"
"1563","624","85","2015-04-13 12:39:18+00:00","0.0158","100596.54","121817.81","21221.27","2690.28","57","3","Enviada"
"117","199","86","2017-08-05 14:43:50+00:00","0.0195","127990.13","174164.23","46174.1","3028.35","90","1","Enviada"
"697","324","86","2020-11-21 13:37:07+00:00","0.0196","81725.16","162457.02","80731.86","1870.3","100","1","Enviada"
"925","532","86","2013-03-11 21:41:55+00:00","0.0231","141250.58","230607.85","89357.27","4792.9","50","5","Enviada"
"934","247","86","2020-10-11 16:34:11+00:00","0.019","71362.77","134563.94","63201.17","2081.3","56","1","Enviada"
"1134","493","86","2012-12-05 22:55:43+00:00","0.0084","65569.51","113743.79","48174.28","16738.06","4","6","Enviada"
"157","432","87","2014-12-05 01:58:14+00:00","0.0163","34704.05","61034.51","26330.46","2047.36","20","4","Enviada"
"1028","208","87","2020-02-06 07:39:40+00:00","0.0126","192003.04","238886.79","46883.75","13325.61","16","0","Enviada"
"1049","223","87","2011-09-04 13:40:23+00:00","0.0089","52143.49","89547.76","37404.27","4997.19","11","2","Enviada"
"1330","287","87","2020-01-15 02:41:31+00:00","0.0216","112921.21","150691.15","37769.94","3757.91","49","0","Enviada"
"1362","147","87","2016-09-19 19:23:45+00:00","0.0182","16001.8","30296.83","14295.03","458.06","56","4","Enviada"
"1619","695","87","2010-05-11 06:36:10+00:00","0.0248","51313.7","71639.69","20325.99","1597.61","65","2","Enviada"
"572","321","88","2017-03-18 21:27:10+00:00","0.0142","13142.16","22951.98","9809.82","1565.87","9","4","Enviada"
"637","665","88","2021-11-11 23:21:55+00:00","0.0126","57570.49","109616.72","52046.23","1079.63","89","5","Enviada"
"1783","440","88","2017-10-03 12:01:46+00:00","0.0088","180693.96","237827.14","57133.18","2981.16","87","5","Enviada"
"1853","406","88","2017-05-20 22:11:10+00:00","0.0199","52364.34","102554.87","50190.53","1477.53","62","1","Enviada"
"1979","789","88","2018-05-18 22:57:27+00:00","0.0135","33037.58","53902.25","20864.67","6877.51","5","3","Enviada"
"383","805","89","2015-08-14 18:21:44+00:00","0.0211","98749.2","157298.85","58549.65","2941.8","59","5","Enviada"
"500","347","89","2022-06-17 10:33:09+00:00","0.0231","15038.36","19967.63","4929.27","435.42","70","0","Enviada"
"526","739","89","2022-03-19 05:01:19+00:00","0.0198","77244.24","152592.44","75348.2","2022.36","72","1","Enviada"
"762","472","89","2022-01-11 08:47:38+00:00","0.0104","63875.53","126975.98","63100.45","1152.7","83","5","Enviada"
"1544","677","89","2018-09-28 19:30:19+00:00","0.0236","80281.84","138404.47","58122.63","2555.13","58","5","Enviada"
"1866","889","89","2017-02-12 15:40:40+00:00","0.0191","2919.5","5704.98","2785.48","255.74","13","1","Enviada"
"334","807","90","2022-01-06 18:12:05+00:00","0.0121","1701.52","2056.17","354.65","96.3","20","3","Enviada"
"1552","609","90","2017-05-26 12:20:42+00:00","0.0182","69729.76","98243.68","28513.92","70998.84","1","5","Enviada"
"1628","692","90","2015-12-23 21:17:21+00:00","0.0151","49577.64","95954.47","46376.83","2567.56","23","5","Enviada"
"1809","836","90","2015-05-27 20:56:31+00:00","0.0216","63240.41","81591.1","18350.69","1503.26","112","3","Enviada"
"1869","195","90","2021-09-14 03:27:55+00:00","0.0082","33978.13","57497.35","23519.22","2149.43","17","1","Enviada"
"557","491","91","2016-01-05 16:12:40+00:00","0.0109","61066.32","118844.09","57777.77","1263.76","69","5","Enviada"
"1691","154","91","2020-12-29 01:20:14+00:00","0.0175","43602.63","56330.6","12727.97","15045.85","3","3","Enviada"
"1772","841","91","2019-11-17 18:57:13+00:00","0.0238","50251.52","69195.26","18943.74","5246.22","11","4","Enviada"
"4","454","92","2015-02-28 17:16:17+00:00","0.022","159503.55","230634.56","71131.01","5179.59","52","6","Enviada"
"34","863","92","2019-03-12 04:55:52+00:00","0.0132","143220.32","187987.07","44766.75","3120.33","71","2","Enviada"
"247","330","92","2019-05-06 06:15:15+00:00","0.0219","4192.06","8346.53","4154.47","350.92","14","5","Enviada"
"821","385","92","2011-07-28 04:02:11+00:00","0.0186","167617.88","241756.2","74138.32","5000.59","53","4","Enviada"
"5","535","93","2019-12-05 00:14:07+00:00","0.0235","69165.19","106962.78","37797.59","2129.95","62","2","Enviada"
"802","244","93","2016-12-15 19:47:29+00:00","0.0217","126030.01","178749.29","52719.28","3000.06","113","4","Enviada"
"955","694","93","2012-08-25 22:08:05+00:00","0.0178","25248.93","31977.76","6728.83","1932.82","15","6","Enviada"
"1226","706","93","2011-04-24 03:09:54+00:00","0.0196","127090.66","240764.57","113673.91","5383.98","32","4","Enviada"
"1882","937","93","2012-11-16 05:58:12+00:00","0.0148","120882.69","226711.54","105828.85","3698.5","45","2","Enviada"
"14","610","94","2019-07-11 13:28:03+00:00","0.0218","139410.47","203931.2","64520.73","5028.45","43","3","Enviada"
"318","787","94","2011-11-06 21:52:59+00:00","0.0165","82631.65","139219.34","56587.69","4197.54","24","6","Enviada"
"529","989","94","2012-07-21 12:12:22+00:00","0.0096","130082.86","201668.56","71585.7","2898.11","59","5","Enviada"
"1546","579","94","2015-11-21 19:02:10+00:00","0.0175","5799.4","10184.94","4385.54","1221.48","5","0","Enviada"
"1917","351","94","2013-10-16 14:57:35+00:00","0.0166","148751.31","241262.01","92510.7","4099.98","56","6","Enviada"
"845","261","95","2016-02-10 19:00:41+00:00","0.0113","111264.4","159029.1","47764.7","1748.43","113","6","Enviada"
"1388","651","95","2016-02-12 19:39:52+00:00","0.0226","53598.77","67640.63","14041.86","1384.59","93","0","Enviada"
"1417","308","95","2014-02-20 03:19:33+00:00","0.0135","30035.87","38245.11","8209.24","506.89","120","5","Enviada"
"1685","429","95","2019-02-28 23:32:16+00:00","0.0145","140067.95","185209.06","45141.11","3758.37","54","2","Enviada"
"1702","764","95","2022-06-22 00:00:17+00:00","0.024","144333.3","201185.56","56852.26","4231.11","72","5","Enviada"
"1742","569","95","2014-07-22 00:48:43+00:00","0.0237","87748.67","166304.05","78555.38","2306.56","99","1","Enviada"
"1961","162","95","2016-10-24 11:34:01+00:00","0.0129","127250.24","173349.14","46098.9","2113.22","117","6","Enviada"
"113","176","96","2021-12-10 00:25:09+00:00","0.0221","124489.84","232380.19","107890.35","4051.17","52","6","Enviada"
"221","662","96","2022-11-03 00:49:59+00:00","0.0141","19232.11","30765.39","11533.28","366.83","96","3","Enviada"
"268","211","96","2021-11-19 08:13:59+00:00","0.0203","106093.33","172061.77","65968.44","2487.04","100","4","Enviada"
"377","771","96","2020-07-24 23:51:36+00:00","0.01","34762.03","65705.6","30943.57","5998.13","6","0","Enviada"
"724","856","96","2014-03-07 09:18:05+00:00","0.013","57382.28","90788.13","33405.85","1448.89","56","3","Enviada"
"849","215","96","2013-11-21 18:23:17+00:00","0.019","37589.1","45424.71","7835.61","812.95","112","3","Enviada"
"1039","290","96","2014-06-01 22:09:39+00:00","0.0219","97385.14","171930.9","74545.76","2785.07","67","1","Enviada"
"1762","411","96","2014-02-04 21:28:55+00:00","0.0181","82020.39","158702.58","76682.19","4729.75","21","3","Enviada"
"638","766","97","2013-01-24 20:33:43+00:00","0.0232","12020.6","20327.29","8306.69","330.43","81","3","Enviada"
"1019","862","97","2022-01-07 07:17:19+00:00","0.009","103602.21","182932.7","79330.49","3095.69","40","6","Enviada"
"1024","354","97","2019-06-09 14:46:50+00:00","0.0168","42934.83","59069.1","16134.27","2051.78","26","4","Enviada"
"1482","38","97","2015-02-16 15:56:08+00:00","0.0087","8105.08","15004.54","6899.46","144.87","77","1","Enviada"
"471","944","98","2012-08-22 15:32:00+00:00","0.0163","986.59","1859.96","873.37","19.16","113","3","Enviada"
"1266","422","98","2019-03-15 12:38:45+00:00","0.0123","83621.21","157453.14","73831.93","1436.29","103","0","Enviada"
"1942","628","98","2011-01-14 06:49:53+00:00","0.0142","129951.85","154763.42","24811.57","5657.22","28","4","Enviada"
"1955","688","98","2011-03-17 11:16:20+00:00","0.0175","115367.77","219963.56","104595.79","3357.77","53","2","Enviada"
"288","684","99","2010-06-03 04:04:33+00:00","0.0211","154699.67","216491.47","61791.8","5157.05","48","5","Enviada"
"450","936","99","2010-04-13 21:22:16+00:00","0.0219","62883.74","109115.39","46231.65","2591.05","35","1","Enviada"
"458","492","99","2022-07-18 07:39:52+00:00","0.0115","21600.01","40310.37","18710.36","753.15","35","0","Enviada"
"682","397","99","2010-03-26 19:07:16+00:00","0.0175","154850.56","187560.9","32710.34","3445.58","89","5","Enviada"
"917","366","99","2012-07-13 15:53:52+00:00","0.0161","54342.75","97311.34","42968.59","1379.12","63","4","Enviada"
"1115","380","99","2017-10-05 18:40:10+00:00","0.0166","94737.13","182392.49","87655.36","2611.2","56","2","Enviada"
"1607","130","99","2020-08-29 02:35:37+00:00","0.023","14037.56","19633.56","5596.0","1007.01","17","0","Enviada"
"1664","805","99","2015-11-24 23:41:06+00:00","0.0206","148664.91","209612.6","60947.69","5245.01","43","6","Enviada"
"1688","889","99","2014-05-16 23:57:47+00:00","0.0233","101556.81","162054.91","60498.1","2836.82","78","2","Enviada"
"1724","673","99","2012-05-15 11:46:09+00:00","0.0185","62123.72","119646.36","57522.64","1613.05","68","0","Enviada"
"1765","17","99","2016-06-12 02:31:57+00:00","0.0143","66588.87","119811.49","53222.62","5282.15","14","0","Enviada"
"151","579","100","2012-05-10 08:11:49+00:00","0.0084","34995.3","59994.2","24998.9","1079.55","38","0","Enviada"
"561","48","100","2019-08-11 23:25:23+00:00","0.0223","51135.35","82532.59","31397.24","1265.18","105","0","Enviada"
"750","708","100","2010-12-01 22:55:57+00:00","0.018","2620.73","3465.5","844.77","67.64","67","6","Enviada"
"967","757","100","2018-05-20 18:15:28+00:00","0.0167","147484.47","188587.3","41102.83","3396.12","78","5","Enviada"
"1053","852","100","2014-03-12 21:45:07+00:00","0.0149","35324.85","53339.03","18014.18","2497.75","16","4","Enviada"
"1204","553","100","2018-01-02 17:13:49+00:00","0.0211","11807.62","15875.49","4067.87","296.32","88","3","Enviada"
"1371","237","100","2012-06-09 17:41:36+00:00","0.0212","69396.06","138626.51","69230.45","1649.71","106","0","Enviada"
"1776","22","100","2014-07-17 00:32:18+00:00","0.0214","83846.9","124477.48","40630.58","2537.39","58","5","Enviada"
"3","215","1","2018-04-08 10:47:24+00:00","0.0238","154691.56","214508.76","59817.2","6687.29","34","4","Aprovada"
"372","193","1","2010-03-04 19:43:32+00:00","0.0103","128429.43","248837.17","120407.74","2846.1","61","3","Aprovada"
"669","82","1","2010-11-21 13:14:49+00:00","0.0196","148806.31","234174.16","85367.85","3383.88","102","3","Aprovada"
"1837","341","1","2015-03-07 05:40:35+00:00","0.0138","161162.29","228485.39","67323.1","3701.83","67","6","Aprovada"
"214","502","2","2012-09-25 11:50:19+00:00","0.0097","76659.01","133066.12","56407.11","2188.84","43","6","Aprovada"
"596","266","2","2022-07-05 17:39:02+00:00","0.0242","131492.08","206480.64","74988.56","45969.01","3","5","Aprovada"
"1021","790","2","2010-03-29 17:44:55+00:00","0.0093","83080.83","140314.25","57233.42","7980.75","11","4","Aprovada"
"1156","669","2","2022-11-03 05:06:09+00:00","0.0201","7234.21","10905.53","3671.32","210.46","59","6","Aprovada"
"1735","725","2","2016-11-21 07:39:18+00:00","0.0088","86125.76","143359.53","57233.77","1323.79","97","3","Aprovada"
"337","566","3","2022-12-18 20:55:58+00:00","0.008","69848.71","127319.85","57471.14","2628.11","30","4","Aprovada"
"563","435","3","2014-12-29 06:35:43+00:00","0.0183","98018.24","163214.64","65196.4","3602.03","38","5","Aprovada"
"938","154","3","2014-02-18 18:05:26+00:00","0.0242","188729.37","242187.95","53458.58","6137.94","57","0","Aprovada"
"1499","986","3","2011-11-23 08:50:33+00:00","0.009","9742.68","14569.05","4826.37","134.36","118","6","Aprovada"
"1500","673","3","2017-07-25 11:03:15+00:00","0.0237","153458.11","186909.25","33451.14","4167.44","88","1","Aprovada"
"1804","659","3","2012-12-17 04:00:05+00:00","0.0143","110462.59","187926.74","77464.15","3645.43","40","3","Aprovada"
"152","569","4","2015-09-03 17:27:44+00:00","0.01","102555.08","151511.08","48956.0","5683.12","20","2","Aprovada"
"785","644","5","2021-01-05 12:43:09+00:00","0.0111","100312.23","142248.96","41936.73","1768.19","90","6","Aprovada"
"1185","535","5","2017-08-01 09:47:51+00:00","0.0225","121875.12","145161.31","23286.19","16816.89","8","5","Aprovada"
"1391","740","5","2021-01-28 07:57:09+00:00","0.0193","10855.04","17090.85","6235.81","255.17","90","3","Aprovada"
"1908","380","5","2012-11-13 03:46:19+00:00","0.0239","2709.3","3343.0","633.7","96.58","47","4","Aprovada"
"614","826","6","2010-08-27 17:11:37+00:00","0.0121","44364.98","53280.04","8915.06","811.83","90","6","Aprovada"
"1386","897","6","2018-08-22 19:58:57+00:00","0.0088","47721.43","63892.83","16171.4","2738.49","19","0","Aprovada"
"1958","643","6","2015-12-28 22:10:38+00:00","0.0091","158198.87","190935.6","32736.73","2975.52","73","1","Aprovada"
"13","112","7","2021-08-21 03:04:37+00:00","0.0217","944.01","1652.35","708.34","22.34","116","6","Aprovada"
"899","186","7","2018-07-07 04:36:14+00:00","0.0151","81940.15","127497.71","45557.56","2230.04","54","4","Aprovada"
"1069","304","7","2022-01-22 22:34:40+00:00","0.0164","101745.77","142646.6","40900.83","2052.98","103","6","Aprovada"
"1800","382","7","2021-08-23 13:43:00+00:00","0.0153","79373.67","138677.79","59304.12","27271.6","3","4","Aprovada"
"265","481","8","2019-09-24 00:31:23+00:00","0.0127","2721.37","3718.44","997.07","52.19","86","4","Aprovada"
"666","626","8","2013-04-16 09:22:43+00:00","0.0081","16701.13","21132.31","4431.18","452.74","44","4","Aprovada"
"101","827","9","2015-12-29 15:40:59+00:00","0.0179","23780.28","38218.77","14438.49","516.43","98","3","Aprovada"
"746","92","9","2011-12-01 03:32:56+00:00","0.0246","75780.24","108197.34","32417.1","2053.98","98","4","Aprovada"
"1705","585","9","2020-04-30 19:05:21+00:00","0.0245","104978.22","157068.88","52090.66","2843.76","97","0","Aprovada"
"164","59","10","2015-08-04 08:33:35+00:00","0.0213","71884.51","123637.15","51752.64","2299.75","52","6","Aprovada"
"379","797","10","2022-05-16 01:00:15+00:00","0.0186","30567.29","57420.05","26852.76","702.26","90","2","Aprovada"
"417","126","10","2020-04-25 18:08:17+00:00","0.0249","133251.2","192758.12","59506.92","3889.02","78","0","Aprovada"
"453","586","10","2013-09-17 00:09:56+00:00","0.0129","77458.86","146368.08","68909.22","2000.44","54","1","Aprovada"
"479","160","10","2012-04-03 13:54:13+00:00","0.0115","106241.69","129159.36","22917.67","2070.41","78","4","Aprovada"
"542","344","10","2019-01-18 10:44:28+00:00","0.0197","64202.22","118357.5","54155.28","1817.78","61","0","Aprovada"
"585","433","10","2012-05-30 12:54:53+00:00","0.0161","43340.19","68132.12","24791.93","871.41","101","3","Aprovada"
"1485","534","10","2012-06-16 13:42:10+00:00","0.0193","23033.62","34129.87","11096.25","781.6","44","0","Aprovada"
"1496","844","10","2011-09-29 00:33:30+00:00","0.0102","83829.25","150136.05","66306.8","1247.27","114","0","Aprovada"
"1529","64","10","2015-08-24 13:23:03+00:00","0.0172","125748.13","228795.46","103047.33","2756.97","90","4","Aprovada"
"1567","322","10","2018-06-16 22:36:34+00:00","0.0099","99162.61","123829.91","24667.3","5489.6","20","1","Aprovada"
"1629","989","10","2015-07-04 06:01:40+00:00","0.0111","93795.29","147038.79","53243.5","1517.18","105","5","Aprovada"
"558","304","11","2012-08-09 01:20:06+00:00","0.0093","50138.23","64454.53","14316.3","2639.31","21","6","Aprovada"
"1007","477","11","2019-06-28 23:35:10+00:00","0.0195","21308.41","38455.19","17146.78","715.6","45","0","Aprovada"
"1348","166","11","2011-06-30 02:33:11+00:00","0.0085","187368.86","247972.7","60603.84","7795.66","27","3","Aprovada"
"1698","974","11","2010-07-02 04:01:02+00:00","0.0134","102374.26","181186.45","78812.19","1830.28","104","0","Aprovada"
"401","381","12","2018-09-18 04:40:05+00:00","0.0209","153936.07","220403.96","66467.89","14636.71","12","5","Aprovada"
"364","124","13","2018-01-16 00:59:56+00:00","0.0089","118005.01","140398.05","22393.04","3137.42","46","5","Aprovada"
"680","305","13","2010-05-13 14:01:20+00:00","0.0142","125941.0","152157.33","26216.33","32610.86","4","2","Aprovada"
"1109","868","13","2013-09-06 13:39:17+00:00","0.0232","82474.21","104582.66","22108.45","4384.72","25","3","Aprovada"
"1176","185","13","2012-05-22 15:58:45+00:00","0.0225","45004.7","87601.63","42596.93","1212.58","81","6","Aprovada"
"1323","250","13","2022-06-27 21:44:35+00:00","0.0208","35073.08","61732.16","26659.08","886.86","84","5","Aprovada"
"1338","89","13","2016-05-26 10:10:01+00:00","0.0168","1544.23","2686.85","1142.62","42.31","57","2","Aprovada"
"148","977","14","2016-05-03 07:39:34+00:00","0.0185","21409.03","33942.43","12533.4","509.37","82","3","Aprovada"
"390","731","14","2016-08-13 09:15:47+00:00","0.0221","44905.6","82678.99","37773.39","1585.16","45","6","Aprovada"
"597","278","14","2014-02-13 05:32:13+00:00","0.0155","153339.02","184273.02","30934.0","6114.36","32","4","Aprovada"
"1033","317","14","2020-11-11 02:05:05+00:00","0.0125","95334.49","131387.49","36053.0","1620.64","107","0","Aprovada"
"1855","326","14","2021-12-17 08:09:29+00:00","0.0246","77958.77","132052.36","54093.59","2386.11","67","0","Aprovada"
"1962","325","14","2013-12-21 15:52:35+00:00","0.0231","96168.13","181788.59","85620.46","49756.52","2","3","Aprovada"
"1977","795","14","2016-01-23 19:08:53+00:00","0.0246","149018.71","238371.53","89352.82","7826.38","26","4","Aprovada"
"477","42","15","2013-12-23 02:18:55+00:00","0.0242","127838.93","186532.25","58693.32","9261.93","17","6","Aprovada"
"879","940","15","2013-05-13 11:59:03+00:00","0.0216","31742.21","55718.26","23976.05","789.28","95","3","Aprovada"
"1308","390","15","2021-03-15 17:13:43+00:00","0.0097","38900.42","57310.9","18410.48","1070.92","45","4","Aprovada"
"1568","775","15","2011-09-11 19:27:48+00:00","0.0204","142948.14","237373.46","94425.32","3247.66","113","0","Aprovada"
"376","772","16","2016-02-23 21:43:40+00:00","0.0081","132611.9","249769.01","117157.11","3184.55","51","0","Aprovada"
"924","84","16","2017-12-21 18:48:42+00:00","0.0097","102240.19","160986.94","58746.75","1565.31","104","1","Aprovada"
"948","283","16","2021-08-30 05:16:24+00:00","0.0204","16374.68","25075.1","8700.42","567.37","44","3","Aprovada"
"962","72","16","2020-10-10 16:15:03+00:00","0.0185","1649.37","2180.78","531.41","42.21","70","1","Aprovada"
"1135","658","16","2019-01-17 19:51:56+00:00","0.0108","53655.2","84533.02","30877.82","27262.99","2","4","Aprovada"
"422","767","17","2011-05-13 19:45:21+00:00","0.0177","108673.57","192219.73","83546.16","5417.15","25","2","Aprovada"
"1290","701","17","2020-02-25 06:37:03+00:00","0.0092","42093.66","65760.97","23667.31","670.94","94","6","Aprovada"
"1912","740","17","2016-05-26 17:59:59+00:00","0.0159","161208.88","217634.61","56425.73","7865.12","25","0","Aprovada"
"1923","283","17","2015-12-08 22:10:31+00:00","0.0122","90461.32","123554.84","33093.52","3833.41","28","4","Aprovada"
"56","692","18","2019-12-27 22:55:29+00:00","0.0126","37945.86","64943.69","26997.83","2792.17","15","3","Aprovada"
"476","255","18","2022-06-18 23:21:12+00:00","0.0228","54108.81","73240.14","19131.33","2635.71","28","1","Aprovada"
"503","445","18","2014-02-09 10:10:20+00:00","0.0197","22005.79","37966.99","15961.2","3000.12","8","0","Aprovada"
"608","765","18","2015-03-23 18:00:36+00:00","0.0212","37628.03","45367.34","7739.31","1362.05","42","0","Aprovada"
"793","677","18","2021-07-02 08:38:23+00:00","0.0088","182648.99","227647.2","44998.21","5326.09","41","0","Aprovada"
"900","29","18","2011-10-18 17:50:52+00:00","0.0201","32170.92","62254.76","30083.84","2371.27","16","4","Aprovada"
"1098","456","18","2013-05-25 07:37:01+00:00","0.0227","73201.54","95229.01","22027.47","1782.23","120","6","Aprovada"
"1187","86","18","2020-12-17 04:14:39+00:00","0.0205","127345.9","162276.53","34930.63","3399.15","72","1","Aprovada"
"1565","954","18","2016-05-29 22:28:51+00:00","0.0154","130883.38","173686.83","42803.45","4184.57","43","1","Aprovada"
"1651","701","18","2012-11-28 06:18:36+00:00","0.0178","146684.84","186257.79","39572.95","3414.54","82","0","Aprovada"
"36","417","19","2014-11-23 10:33:37+00:00","0.0109","28777.16","35598.9","6821.74","584.28","71","4","Aprovada"
"1200","496","19","2015-08-15 04:40:56+00:00","0.0189","10287.98","13308.56","3020.58","224.11","108","1","Aprovada"
"1328","483","19","2019-05-26 07:29:16+00:00","0.0156","25382.65","47916.56","22533.91","1125.82","28","2","Aprovada"
"345","17","20","2022-11-06 18:59:43+00:00","0.0115","60101.06","71835.44","11734.38","2003.55","37","6","Aprovada"
"485","338","20","2021-03-30 08:59:12+00:00","0.0246","142181.29","213555.4","71374.11","4019.6","84","1","Aprovada"
"718","8","20","2015-08-31 17:07:51+00:00","0.0198","2441.85","4169.5","1727.65","53.77","117","5","Aprovada"
"969","249","20","2022-11-19 02:07:57+00:00","0.0178","58196.38","78917.69","20721.31","1686.25","54","4","Aprovada"
"1059","664","20","2015-02-13 08:23:23+00:00","0.013","130742.02","241005.07","110263.05","7465.87","20","1","Aprovada"
"1165","762","20","2021-09-05 10:11:36+00:00","0.0229","91244.25","174521.3","83277.05","2769.98","62","2","Aprovada"
"1366","873","20","2015-12-20 17:55:07+00:00","0.0151","70207.37","86108.79","15901.42","1359.31","101","0","Aprovada"
"140","383","21","2014-09-26 23:28:51+00:00","0.0159","124861.41","189588.52","64727.11","2394.46","112","1","Aprovada"
"867","467","21","2013-11-13 21:05:12+00:00","0.01","79939.94","159313.51","79373.57","2386.29","41","3","Aprovada"
"1158","985","21","2022-02-28 18:30:43+00:00","0.0189","82772.42","128290.86","45518.44","3322.05","34","4","Aprovada"
"1265","16","21","2022-01-29 05:42:08+00:00","0.0222","74746.45","114570.17","39823.72","2024.58","78","1","Aprovada"
"1456","937","21","2013-05-14 07:59:02+00:00","0.0206","22199.42","38132.46","15933.04","542.07","91","2","Aprovada"
"1720","418","21","2011-02-01 18:03:20+00:00","0.0083","145031.99","234466.3","89434.31","8707.53","18","1","Aprovada"
"1819","930","21","2011-01-25 16:06:19+00:00","0.0152","63930.41","76288.84","12358.43","1337.11","86","1","Aprovada"
"1886","422","21","2019-08-27 10:42:26+00:00","0.0164","151729.73","234388.14","82658.41","3162.78","95","4","Aprovada"
"207","799","22","2022-03-21 07:33:13+00:00","0.0112","161775.67","206714.34","44938.67","3199.69","75","2","Aprovada"
"404","47","22","2018-10-13 02:02:03+00:00","0.0113","128596.07","246726.47","118130.4","2431.85","81","5","Aprovada"
